ratID,Session,Epoch_N,OF,REM
27285_Elm,1,0,9.88888888888889,9.222222222222221
27285_Elm,1,1,9.037037037037036,9.407407407407407
27285_Elm,1,2,10.518518518518519,9.96296296296296
27963_Hemlock,1,0,9.000000000000002,8.703703703703702
27963_Hemlock,1,1,8.148148148148149,11.111111111111112
27963_Hemlock,1,2,9.111111111111109,10.370370370370368
27963_Hemlock,1,3,9.407407407407407,10.59259259259259
27963_Hemlock,1,4,11.333333333333332,9.592592592592592
27963_Hemlock,1,5,11.07407407407407,10.296296296296294
28003_Ironwood,1,0,10.407407407407407,10.296296296296296
29629_Karri,1,0,9.592592592592592,10.074074074074076
29629_Karri,1,1,9.74074074074074,9.40740740740741
29629_Karri,1,2,10.444444444444443,9.222222222222221
29629_Karri,1,3,10.148148148148149,9.185185185185183
29629_Karri,1,4,9.074074074074074,9.62962962962963
29629_Karri,1,5,8.851851851851848,9.851851851851851
