ratID,Session,Epoch_N,OF,REM
27284_Douglas,1,0,55.55555555555555,25.555555555555554
27284_Douglas,1,1,45.00000000000001,26.666666666666668
27284_Douglas,1,2,43.888888888888886,23.333333333333336
27284_Douglas,1,3,46.111111111111114,16.11111111111111
27284_Douglas,1,4,47.77777777777777,28.333333333333332
27284_Douglas,1,5,44.44444444444444,17.222222222222218
27284_Douglas,1,6,64.44444444444443,56.666666666666664
27284_Douglas,1,7,35.0,19.444444444444446
27284_Douglas,1,8,45.0,23.88888888888889
27284_Douglas,1,9,52.22222222222223,18.33333333333333
27284_Douglas,1,10,33.88888888888889,23.333333333333336
27284_Douglas,1,11,52.77777777777778,48.888888888888886
27284_Douglas,1,12,34.444444444444436,34.99999999999999
27284_Douglas,1,13,40.0,26.666666666666668
27285_Elm,1,0,36.666666666666664,45.0
27285_Elm,1,1,33.888888888888886,61.66666666666667
27285_Elm,1,2,26.666666666666668,31.111111111111107
27963_Hemlock,1,0,27.22222222222222,34.44444444444444
27963_Hemlock,1,1,30.0,50.0
27963_Hemlock,1,2,30.555555555555554,65.00000000000001
27963_Hemlock,1,3,48.333333333333336,28.888888888888882
27963_Hemlock,1,4,49.44444444444444,51.66666666666667
27963_Hemlock,1,5,42.77777777777778,51.66666666666667
28003_Ironwood,1,0,26.666666666666668,40.555555555555564
29630_Juniper,1,0,36.666666666666664,61.11111111111111
29630_Juniper,1,1,28.333333333333332,64.44444444444444
29630_Juniper,1,2,31.111111111111107,43.88888888888889
29630_Juniper,2,0,18.888888888888886,45.00000000000001
29630_Juniper,2,1,35.0,55.55555555555556
29630_Juniper,2,2,26.111111111111107,60.0
29630_Juniper,2,3,23.333333333333332,20.555555555555554
29630_Juniper,2,4,20.55555555555556,24.44444444444444
29630_Juniper,2,5,27.22222222222222,18.888888888888882
29630_Juniper,3,0,28.333333333333332,66.1111111111111
29630_Juniper,3,1,28.888888888888886,58.333333333333336
29630_Juniper,3,2,32.77777777777777,49.44444444444445
29630_Juniper,3,3,24.444444444444443,11.111111111111112
29630_Juniper,3,4,14.999999999999996,52.77777777777778
29630_Juniper,3,5,23.333333333333332,48.88888888888888
29630_Juniper,3,6,38.88888888888889,53.888888888888886
29630_Juniper,3,7,12.222222222222223,54.44444444444444
29630_Juniper,3,8,43.333333333333336,14.444444444444446
29630_Juniper,3,9,33.33333333333333,56.666666666666664
29630_Juniper,3,10,40.0,51.66666666666666
