ratID,Session,Epoch_N,OF,REM
27285_Elm,1,0,31.66666666666667,52.77777777777779
27285_Elm,1,1,39.44444444444444,42.77777777777778
27285_Elm,1,2,29.444444444444446,23.333333333333332
27963_Hemlock,1,0,22.77777777777778,53.333333333333336
27963_Hemlock,1,1,41.111111111111114,55.00000000000001
27963_Hemlock,1,2,42.77777777777778,35.55555555555555
27963_Hemlock,1,3,33.333333333333336,55.55555555555556
27963_Hemlock,1,4,35.55555555555556,61.66666666666667
27963_Hemlock,1,5,34.444444444444436,33.333333333333336
28003_Ironwood,1,0,20.000000000000004,28.333333333333332
29629_Karri,1,0,28.888888888888893,37.777777777777786
29629_Karri,1,1,27.22222222222222,28.888888888888886
29629_Karri,1,2,21.111111111111114,51.11111111111112
29629_Karri,1,3,15.555555555555555,38.333333333333336
29629_Karri,1,4,34.44444444444444,45.55555555555556
29629_Karri,1,5,16.666666666666664,35.55555555555555
