ratID,Session,Epoch_N,OF,REM
27285_Elm,1,0,8.317816075762906,4.353278333320283
27285_Elm,1,1,4.7927220072509185,7.214894973076232
27285_Elm,1,2,7.210593183379065,9.4315991787002
27963_Hemlock,1,0,5.095443111250145,1.4909092750763202
27963_Hemlock,1,1,4.9537522750028495,1.8706079654063184
27963_Hemlock,1,2,4.856037202201769,1.7132774012301109
27963_Hemlock,1,3,5.137330944156902,1.6058505813088932
27963_Hemlock,1,4,7.704885743711318,2.413813273911575
27963_Hemlock,1,5,3.674177106435348,2.3744218673385444
28003_Ironwood,1,0,5.304292308977009,8.720848286834176
29629_Karri,1,0,7.36318261773018,6.647755937670428
29629_Karri,1,1,6.073469917234032,5.162193914069254
29629_Karri,1,2,11.184379030990502,4.82570729122736
29629_Karri,1,3,7.397200630649772,4.509704698469546
29629_Karri,1,4,4.6779238921192565,4.227283187106477
29629_Karri,1,5,12.330274538682522,4.991003145942652
