ratID,Session,Epoch_N,OF,REM
27284_Douglas,1,0,9.432219586808605,16.739933724324597
27284_Douglas,1,1,16.30158722519433,17.662174301911413
27284_Douglas,1,2,10.682335785139959,23.002994732178696
27284_Douglas,1,3,8.89321071309434,20.914670742896938
27284_Douglas,1,4,13.047300179960475,13.612093840956353
27284_Douglas,1,5,12.18778634390492,18.596709007540202
27284_Douglas,1,6,11.769938835672496,7.067229465862062
27284_Douglas,1,7,10.588036491665793,16.70021261102837
27284_Douglas,1,8,18.613574472742787,35.665864343546446
27284_Douglas,1,9,10.446477977643399,18.36210124010164
27284_Douglas,1,10,13.664839708904854,12.433050982461264
27284_Douglas,1,11,10.817306457766048,13.416154330642007
27284_Douglas,1,12,12.785265422433003,18.956832852732223
27284_Douglas,1,13,10.76500749661157,31.16847769747175
27285_Elm,1,0,23.624661653944578,7.8269292676587
27285_Elm,1,1,12.030756623983594,8.407936508898214
27285_Elm,1,2,13.13196878325714,14.360704297345187
27963_Hemlock,1,0,12.80039951698858,14.48028130539134
27963_Hemlock,1,1,14.403955763924051,9.073982259374384
27963_Hemlock,1,2,14.301043898604227,9.064560366096241
27963_Hemlock,1,3,15.440408413888353,19.339441234594354
27963_Hemlock,1,4,11.24774547197076,14.358618495667965
27963_Hemlock,1,5,17.763012575627904,18.24706098402647
28003_Ironwood,1,0,10.373359222042001,23.159924080009443
29630_Juniper,1,0,11.518021271301695,18.29499091868964
29630_Juniper,1,1,15.332638492533885,10.118645642893696
29630_Juniper,1,2,16.935753948627372,5.704823903710092
29630_Juniper,2,0,23.929903015841433,10.306511880246163
29630_Juniper,2,1,11.828096335121446,8.17887298102444
29630_Juniper,2,2,17.71712245883313,10.739727590983668
29630_Juniper,2,3,14.5706629742464,62.8142618330302
29630_Juniper,2,4,20.42126822078352,20.906635909819123
29630_Juniper,2,5,34.2138680666229,18.191475144264675
29630_Juniper,3,0,19.604342117490397,15.22528818445373
29630_Juniper,3,1,16.856850078220102,9.915397948833057
29630_Juniper,3,2,25.35557180119653,8.867194658105616
29630_Juniper,3,3,24.66157336532779,45.370684555326434
29630_Juniper,3,4,18.35909252352911,13.37905515097208
29630_Juniper,3,5,19.88575923046292,18.427112546482213
29630_Juniper,3,6,19.88198825423222,5.003524735930275
29630_Juniper,3,7,16.734100773265162,17.030436252406265
29630_Juniper,3,8,16.317923165525258,28.31020036275799
29630_Juniper,3,9,18.04041380465171,11.18473300744693
29630_Juniper,3,10,33.46252197564137,12.254323341443673
