ratID,Session,Epoch_N,OF,REM
27285_Elm,1,0,15.765233665832419,12.927501037200052
27285_Elm,1,1,11.47331838444523,12.220900066261336
27285_Elm,1,2,13.78526994399789,12.539984880629946
27963_Hemlock,1,0,19.278108667700312,14.628203946663232
27963_Hemlock,1,1,13.448138747567898,12.101619598053828
27963_Hemlock,1,2,11.231336433420108,15.009701859470578
27963_Hemlock,1,3,15.739102282489698,12.621499406529422
27963_Hemlock,1,4,14.545891479635955,18.686976843572936
27963_Hemlock,1,5,10.294967225210863,12.355718780332195
28003_Ironwood,1,0,19.369110926028835,16.224996003005412
29629_Karri,1,0,17.807344609732862,32.57740639233511
29629_Karri,1,1,11.847422907137682,18.37910135059994
29629_Karri,1,2,17.049351404294438,18.096231145371917
29629_Karri,1,3,29.660517378893246,16.321576699475496
29629_Karri,1,4,15.551114648565122,19.558709738126343
29629_Karri,1,5,26.541168683290756,14.101360664814653
