,DOWN_state
0,0.1750000000001819
1,0.14999999999986358
2,0.09999999999990905
3,0.125
4,0.125
5,0.125
6,0.1750000000001819
7,0.40000000000009095
8,0.17499999999995453
9,0.20000000000004547
10,0.17499999999995453
11,0.125
12,0.17499999999995453
13,0.10000000000013642
14,0.1750000000001819
15,0.15000000000009095
16,0.125
17,0.09999999999990905
18,0.09999999999990905
19,0.25
20,0.125
21,0.15000000000009095
22,0.09999999999990905
23,0.22499999999990905
24,0.10000000000013642
25,0.10000000000013642
26,0.125
27,0.125
28,0.125
29,0.09999999999990905
30,0.14999999999986358
31,0.09999999999990905
32,0.10000000000013642
33,0.09999999999990905
34,0.125
35,0.17499999999995453
36,0.15000000000009095
37,0.1999999999998181
38,0.25
39,0.10000000000013642
40,0.125
41,0.25
42,0.09999999999990905
43,0.34999999999990905
44,0.125
45,0.14999999999986358
46,0.14999999999986358
47,0.25
48,0.22499999999990905
49,0.125
50,0.09999999999990905
51,0.25
52,0.09999999999990905
53,0.09999999999990905
54,0.125
55,0.14999999999986358
56,0.22499999999990905
57,0.17499999999995453
58,0.14999999999986358
59,0.20000000000004547
60,0.09999999999990905
61,0.525000000000091
62,0.15000000000009095
63,0.09999999999990905
64,0.10000000000013642
65,0.17499999999995453
66,0.125
67,0.1750000000001819
68,0.09999999999990905
69,0.3250000000000455
70,0.20000000000004547
71,0.09999999999990905
72,0.15000000000009095
73,0.10000000000013642
74,0.09999999999990905
75,0.09999999999990905
76,0.17499999999995453
77,0.125
78,0.14999999999986358
79,0.125
80,0.10000000000013642
81,0.09999999999990905
82,0.14999999999986358
83,0.09999999999990905
84,0.125
85,0.14999999999986358
86,0.10000000000013642
87,0.09999999999990905
88,0.2250000000003638
89,0.09999999999990905
90,0.125
91,0.09999999999990905
92,0.1750000000001819
93,0.20000000000027285
94,0.15000000000009095
95,0.25
96,0.1000000000003638
97,0.125
98,0.1750000000001819
99,0.1999999999998181
100,0.09999999999990905
101,0.29999999999972715
102,0.15000000000009095
103,0.09999999999990905
104,0.09999999999990905
105,0.1750000000001819
106,0.1750000000001819
107,0.09999999999990905
108,0.09999999999990905
109,0.125
110,0.25
111,0.34999999999990905
112,0.09999999999990905
113,0.1000000000003638
114,0.15000000000009095
115,0.09999999999990905
116,0.1750000000001819
117,0.15000000000009095
118,0.1000000000003638
119,0.09999999999990905
120,0.09999999999990905
121,0.1499999999996362
122,0.125
123,0.25
124,0.22499999999990905
125,0.1999999999998181
126,0.125
127,0.09999999999990905
128,0.22499999999990905
129,0.09999999999990905
130,0.09999999999990905
131,0.125
132,0.125
133,0.125
134,0.09999999999990905
135,0.1999999999998181
136,0.1750000000001819
137,0.125
138,0.125
139,0.20000000000027285
140,0.09999999999990905
141,0.09999999999990905
142,0.09999999999990905
143,0.09999999999990905
144,0.09999999999990905
145,0.20000000000027285
146,0.1750000000001819
147,0.25
148,0.1499999999996362
149,0.1000000000003638
150,0.20000000000027285
151,0.125
152,0.09999999999990905
153,0.15000000000009095
154,0.09999999999990905
155,0.09999999999990905
156,0.15000000000009095
157,0.3000000000001819
158,0.09999999999990905
159,0.09999999999990905
160,0.125
161,0.1000000000003638
162,0.125
163,0.125
164,0.125
165,0.125
166,0.09999999999990905
167,0.22499999999990905
168,0.20000000000027285
169,0.1000000000003638
170,0.125
171,0.15000000000009095
172,0.125
173,0.09999999999990905
174,0.125
175,0.09999999999990905
176,0.15000000000009095
177,0.15000000000009095
178,0.17499999999972715
179,0.09999999999990905
180,0.125
181,0.1999999999998181
182,0.15000000000009095
183,0.1750000000001819
184,0.15000000000009095
185,0.1499999999996362
186,0.09999999999990905
187,0.09999999999990905
188,0.09999999999990905
189,0.125
190,0.25
191,0.3249999999998181
192,0.5
193,0.6000000000003638
194,0.42499999999972715
195,0.375
196,0.09999999999990905
197,0.5
198,0.42499999999972715
199,0.3249999999998181
200,0.15000000000009095
201,0.9500000000002728
202,0.47499999999990905
203,0.27500000000009095
204,0.27500000000009095
205,0.3000000000001819
206,0.09999999999990905
207,0.20000000000027285
208,0.1750000000001819
209,0.42499999999972715
210,0.09999999999990905
211,0.27500000000009095
212,0.375
213,0.22499999999990905
214,0.22499999999990905
215,0.2749999999996362
216,0.4499999999998181
217,0.3000000000001819
218,0.1499999999996362
219,0.15000000000009095
220,0.15000000000009095
221,0.09999999999990905
222,0.29999999999972715
223,0.125
224,0.15000000000009095
225,0.125
226,0.8000000000001819
227,0.4250000000001819
228,0.29999999999972715
229,0.20000000000027285
230,0.29999999999972715
231,0.22499999999990905
232,0.1999999999998181
233,0.125
234,0.15000000000009095
235,0.15000000000009095
236,0.15000000000009095
237,0.125
238,0.09999999999990905
239,0.125
240,0.09999999999990905
241,0.09999999999990905
242,0.09999999999990905
243,0.09999999999990905
244,0.09999999999990905
245,0.15000000000009095
246,0.15000000000009095
247,0.15000000000009095
248,0.1750000000001819
249,0.1000000000003638
250,0.09999999999990905
251,0.20000000000027285
252,0.25
253,0.09999999999990905
254,0.1750000000001819
255,0.09999999999990905
256,0.1999999999998181
257,0.1999999999998181
258,0.09999999999990905
259,0.1499999999996362
260,0.15000000000009095
261,0.09999999999990905
262,0.09999999999990905
263,0.125
264,0.1499999999996362
265,0.125
266,0.15000000000009095
267,0.15000000000009095
268,0.125
269,0.15000000000009095
270,0.09999999999990905
271,0.1000000000003638
272,0.27500000000009095
273,0.09999999999990905
274,0.125
275,0.3249999999998181
276,0.17499999999972715
277,0.15000000000009095
278,0.1000000000003638
279,0.125
280,0.125
281,0.2250000000003638
282,0.1499999999996362
283,0.27500000000009095
284,0.09999999999990905
285,0.125
286,0.25
287,0.1999999999998181
288,0.15000000000009095
289,0.09999999999990905
290,0.17499999999972715
291,0.1750000000001819
292,0.15000000000009095
293,0.125
294,0.1750000000001819
295,0.125
296,0.125
297,0.15000000000009095
298,0.09999999999990905
299,0.125
300,0.09999999999990905
301,0.125
302,0.125
303,0.09999999999990905
304,0.20000000000027285
305,0.20000000000027285
306,0.22499999999990905
307,0.1750000000001819
308,0.1999999999998181
309,0.125
310,0.22499999999990905
311,0.125
312,0.34999999999990905
313,0.125
314,0.29999999999972715
315,0.125
316,0.25
317,0.27500000000009095
318,0.20000000000027285
319,0.25
320,0.15000000000009095
321,0.27500000000009095
322,0.09999999999990905
323,0.15000000000009095
324,0.125
325,0.15000000000009095
326,0.15000000000009095
327,0.15000000000009095
328,0.1499999999996362
329,0.1499999999996362
330,0.125
331,0.1999999999998181
332,0.09999999999990905
333,0.22499999999990905
334,0.09999999999990905
335,0.17499999999972715
336,0.125
337,0.125
338,0.2749999999996362
339,0.1000000000003638
340,0.09999999999990905
341,0.17499999999972715
342,0.17499999999972715
343,0.125
344,0.09999999999990905
345,0.09999999999990905
346,0.375
347,0.125
348,0.09999999999990905
349,0.2749999999996362
350,0.15000000000009095
351,0.15000000000009095
352,0.17499999999972715
353,0.09999999999990905
354,0.09999999999990905
355,0.1999999999998181
356,0.22499999999990905
357,0.25
358,0.3249999999998181
359,0.25
360,0.1999999999998181
361,0.1750000000001819
362,0.09999999999990905
363,0.17499999999972715
364,0.29999999999972715
365,0.3500000000003638
366,0.125
367,0.15000000000009095
368,0.22499999999990905
369,0.3500000000003638
370,0.09999999999990905
371,0.1999999999998181
372,0.125
373,0.4499999999998181
374,0.1000000000003638
375,0.09999999999990905
376,0.22499999999990905
377,0.09999999999990905
378,0.125
379,0.5749999999998181
380,0.22499999999990905
381,0.1750000000001819
382,0.15000000000009095
383,0.15000000000009095
384,0.1499999999996362
385,0.1750000000001819
386,0.25
387,0.125
388,0.20000000000027285
389,0.09999999999990905
390,0.17499999999972715
391,0.09999999999990905
392,0.27500000000009095
393,0.09999999999990905
394,0.125
395,0.25
396,0.1750000000001819
397,0.125
398,0.125
399,0.125
400,0.22499999999990905
401,0.20000000000027285
402,0.974999999999909
403,0.1000000000003638
404,0.32500000000027285
405,0.09999999999990905
406,0.125
407,0.375
408,0.09999999999990905
409,0.1750000000001819
410,0.09999999999990905
411,0.25
412,0.09999999999990905
413,0.25
414,0.15000000000009095
415,0.1750000000001819
416,0.17499999999972715
417,0.5500000000001819
418,0.25
419,0.17499999999972715
420,0.1999999999998181
421,0.15000000000009095
422,0.3500000000003638
423,0.25
424,0.375
425,0.125
426,0.3000000000001819
427,0.15000000000009095
428,0.22499999999990905
429,0.15000000000009095
430,0.22499999999990905
431,0.125
432,0.1499999999996362
433,0.1750000000001819
434,0.2749999999996362
435,0.15000000000009095
436,0.17499999999972715
437,0.1000000000003638
438,0.1499999999996362
439,0.09999999999990905
440,0.09999999999990905
441,0.17499999999972715
442,0.1750000000001819
443,0.15000000000009095
444,0.15000000000009095
445,0.15000000000009095
446,0.09999999999990905
447,0.125
448,0.1750000000001819
449,0.17499999999972715
450,0.09999999999990905
451,0.125
452,0.20000000000027285
453,0.375
454,0.1499999999996362
455,0.22499999999990905
456,0.3249999999998181
457,0.125
458,0.3000000000001819
459,0.2749999999996362
460,0.1000000000003638
461,0.3000000000001819
462,0.17499999999972715
463,0.09999999999990905
464,0.125
465,0.20000000000027285
466,0.32500000000027285
467,0.15000000000009095
468,0.375
469,0.125
470,0.17499999999972715
471,0.47499999999990905
472,0.25
473,0.25
474,0.1750000000001819
475,0.1999999999998181
476,0.3999999999996362
477,0.25
478,0.27500000000009095
479,0.47499999999990905
480,0.1750000000001819
481,0.34999999999990905
482,0.09999999999990905
483,0.125
484,0.27500000000009095
485,0.09999999999990905
486,0.125
487,0.29999999999972715
488,0.34999999999990905
489,0.1499999999996362
490,0.09999999999990905
491,0.29999999999972715
492,0.125
493,0.125
494,0.09999999999990905
495,0.125
496,0.32500000000027285
497,0.09999999999990905
498,0.125
499,0.5
500,0.1750000000001819
501,0.22499999999990905
502,0.27500000000009095
503,0.125
504,0.25
505,0.20000000000027285
506,0.29999999999972715
507,0.22499999999990905
508,0.1750000000001819
509,0.1750000000001819
510,0.27500000000009095
511,0.15000000000009095
512,0.29999999999972715
513,0.20000000000027285
514,0.15000000000009095
515,0.3249999999998181
516,0.15000000000009095
517,0.125
518,0.5749999999998181
519,0.3000000000001819
520,0.15000000000009095
521,0.29999999999972715
522,0.1999999999998181
523,0.25
524,0.09999999999990905
525,0.1000000000003638
526,0.15000000000009095
527,0.09999999999990905
528,0.25
529,0.09999999999990905
530,0.1000000000003638
531,0.25
532,0.25
533,0.125
534,0.09999999999990905
535,0.09999999999990905
536,0.25
537,0.1750000000001819
538,0.25
539,0.17499999999972715
540,0.09999999999990905
541,0.17499999999972715
542,0.125
543,0.724999999999909
544,0.5750000000002728
545,0.22499999999990905
546,0.1750000000001819
547,0.1750000000001819
548,0.1750000000001819
549,0.09999999999990905
550,0.17499999999972715
551,0.15000000000009095
552,0.125
553,0.09999999999990905
554,0.09999999999990905
555,0.1000000000003638
556,0.2249999999994543
557,0.1750000000001819
558,0.1500000000005457
559,0.2250000000003638
560,0.375
561,0.0999999999994543
562,0.25
563,0.25
564,0.2749999999996362
565,0.25
566,0.2250000000003638
567,0.1750000000001819
568,0.2249999999994543
569,0.25
570,0.1999999999998181
571,0.2750000000005457
572,0.3500000000003638
573,0.1499999999996362
574,0.1000000000003638
575,0.125
576,0.125
577,0.1999999999998181
578,0.0999999999994543
579,0.3500000000003638
580,0.1999999999998181
581,0.1750000000001819
582,0.1500000000005457
583,0.1499999999996362
584,0.1999999999998181
585,0.2249999999994543
586,0.2249999999994543
587,0.0999999999994543
588,0.2250000000003638
589,0.125
590,0.2749999999996362
591,0.375
592,0.4749999999994543
593,0.1750000000001819
594,0.1750000000001819
595,0.1500000000005457
596,0.2249999999994543
597,0.2749999999996362
598,0.25
599,0.3000000000001819
600,0.5249999999996362
601,0.1499999999996362
602,0.5
603,0.1999999999998181
604,0.1499999999996362
605,0.4000000000005457
606,0.1499999999996362
607,0.1000000000003638
608,0.25
609,0.2250000000003638
610,0.1750000000001819
611,0.1750000000001819
612,0.0999999999994543
613,0.2249999999994543
614,0.1750000000001819
615,0.1500000000005457
616,0.2250000000003638
617,0.1750000000001819
618,0.1750000000001819
619,0.1500000000005457
620,0.25
621,0.125
622,0.1999999999998181
623,0.1500000000005457
624,0.125
625,0.1999999999998181
626,0.1499999999996362
627,0.1749999999992724
628,0.1000000000003638
629,0.125
630,0.25
631,0.0999999999994543
632,0.1750000000001819
633,0.1499999999996362
634,0.0999999999994543
635,0.1000000000003638
636,0.1499999999996362
637,0.1000000000003638
638,0.3499999999994543
639,0.25
640,0.3249999999998181
641,0.1000000000003638
642,0.25
643,0.1500000000005457
644,0.125
645,0.1750000000001819
646,0.125
647,0.1000000000003638
648,0.1500000000005457
649,0.3500000000003638
650,0.1500000000005457
651,0.1000000000003638
652,0.1499999999996362
653,0.2249999999994543
654,0.125
655,0.125
656,0.3249999999998181
657,0.3999999999996362
658,0.25
659,0.125
660,0.125
661,0.2750000000005457
662,0.4000000000005457
663,0.1750000000001819
664,0.0999999999994543
665,0.1000000000003638
666,0.1000000000003638
667,0.3000000000001819
668,0.1500000000005457
669,0.4750000000003638
670,0.4750000000003638
671,0.2250000000003638
672,0.1499999999996362
673,0.2749999999996362
674,0.4749999999994543
675,0.4499999999998181
676,0.5
677,0.6750000000001819
678,0.3499999999994543
679,0.1750000000001819
680,0.375
681,0.3999999999996362
682,0.2750000000005457
683,0.2749999999996362
684,0.3249999999998181
685,0.2250000000003638
686,0.1750000000001819
687,0.2749999999996362
688,0.3249999999998181
689,0.1499999999996362
690,0.25
691,0.5249999999996362
692,0.25
693,0.1000000000003638
694,0.1000000000003638
695,0.2749999999996362
696,0.375
697,0.4249999999992724
698,0.3000000000001819
699,0.3499999999994543
700,0.1499999999996362
701,0.1499999999996362
702,0.3249999999998181
703,0.2750000000005457
704,0.3500000000003638
705,0.1499999999996362
706,0.1499999999996362
707,0.1500000000005457
708,0.2750000000005457
709,0.1999999999998181
710,0.1750000000001819
711,0.1499999999996362
712,0.125
713,0.1750000000001819
714,0.1999999999998181
715,0.1000000000003638
716,0.3500000000003638
717,0.1999999999998181
718,0.1500000000005457
719,0.0999999999994543
720,0.25
721,0.2999999999992724
722,0.125
723,0.1500000000005457
724,0.2249999999994543
725,0.125
726,0.2749999999996362
727,0.1499999999996362
728,0.1999999999998181
729,0.3249999999998181
730,0.1499999999996362
731,0.1499999999996362
732,0.1499999999996362
733,0.1500000000005457
734,0.1000000000003638
735,0.1999999999998181
736,0.125
737,0.1000000000003638
738,0.1000000000003638
739,0.1500000000005457
740,0.1750000000001819
741,0.2749999999996362
742,0.3999999999996362
743,0.1499999999996362
744,0.1000000000003638
745,0.3249999999998181
746,0.125
747,0.1500000000005457
748,0.1750000000001819
749,0.1000000000003638
750,0.1999999999998181
751,0.3500000000003638
752,0.4750000000003638
753,0.1500000000005457
754,0.1999999999998181
755,0.2250000000003638
756,0.1749999999992724
757,0.2750000000005457
758,0.2250000000003638
759,0.1000000000003638
760,0.125
761,0.3500000000003638
762,0.1750000000001819
763,0.3000000000001819
764,0.3999999999996362
765,0.3000000000001819
766,0.25
767,0.2750000000005457
768,0.3249999999998181
769,0.25
770,0.1999999999998181
771,0.3249999999998181
772,0.1750000000001819
773,0.375
774,0.1499999999996362
775,0.2749999999996362
776,0.125
777,0.4249999999992724
778,0.1000000000003638
779,0.3999999999996362
780,0.0999999999994543
781,0.1999999999998181
782,0.1499999999996362
783,0.125
784,0.25
785,0.1000000000003638
786,0.375
787,0.125
788,0.1499999999996362
789,0.2250000000003638
