,OF,REM,SWS
0,0.005071108393854475,0.004547228279710989,0.0052473275872062615
1,0.0049055550413425065,0.004156031147278674,0.005714932156455196
2,0.00543984318890812,0.0036054773801352975,0.004935082630685455
3,0.005431050646135663,0.0042574372659105264,0.005313535379844432
4,0.006314906200263168,0.005111189195345686,0.004706073292527484
5,0.005135601869259652,0.0046737598129556,0.004829746036259764
6,0.004903832482491107,0.004948927690166273,0.004494323609421418
7,0.005252780299390338,0.00572919706620502,0.004230143096901615
8,0.004495167147761248,0.005840894472956182,0.004187787719982016
9,0.004691613859258939,0.005404505018969703,0.00406440092732907
10,0.005285180330424806,0.005843283519016132,0.004350913381155056
11,0.0049031629925624836,0.006180583309128134,0.004933739194209526
12,0.0047567387365573055,0.005184592471904431,0.005158994917520949
13,0.004207457110378197,0.005045501255731029,0.004890155500156548
14,0.004509174266019717,0.005912853934334514,0.005410364003811102
15,0.004275553464443161,0.005318767292212532,0.0046346648269469225
16,0.004594846743155337,0.005570946260763948,0.004874359161407818
17,0.005080490781958476,0.0056872559650536164,0.005208303294407623
18,0.004934742209579864,0.006045905595220356,0.005019956076931849
19,0.004828017320846546,0.004238508562749485,0.005215168627837323
20,0.004366940789794721,0.00418535263051853,0.005376598911689639
21,0.0044756447244419465,0.003621890118613208,0.005251194653809163
22,0.005003640861628915,0.0030537409065902544,0.005318162455973049
23,0.004728786776628029,0.003252906077766999,0.005427207511396678
24,0.004679612644575281,0.004017333762240744,0.004312687134670991
25,0.0054362840295055235,0.0031640188556482317,0.004557138827478711
26,0.004724318617648076,0.0034716233450246626,0.004043978281377063
27,0.00499337518519987,0.0034604411770810467,0.004451425638590765
28,0.004521447333886122,0.004074355007528748,0.0046293572269141625
29,0.004792887621509916,0.004768385047908332,0.005107186386808962
30,0.004104798807699243,0.0051211434572309145,0.00513226484514258
31,0.0046033579024882315,0.006212538342263771,0.004599279415024627
32,0.00482869437236535,0.006562945938455066,0.00512404185508099
33,0.005142201796126791,0.006440671667551759,0.004848713005689589
34,0.005038945660862229,0.005830757889820668,0.005323011642761938
35,0.004456785046643467,0.004756516993042909,0.005776682215302353
36,0.004328397374753092,0.004577308091993547,0.004871753476505252
37,0.004479500503974838,0.0039047335978063947,0.005093016887673125
38,0.004929899795836643,0.0036251483778162483,0.0052376549371735085
39,0.004662272745581857,0.003361918150618673,0.004641559807175931
40,0.004502496071214797,0.003925083470901569,0.0037821510661064654
41,0.005040835052271713,0.0033305959215465747,0.0043933165056864575
42,0.005009636965931319,0.00428948805151989,0.004457916146901333
43,0.005157166349667955,0.005285923462915219,0.004570141973405361
44,0.004694632950164965,0.004798370076787274,0.004718311279490051
45,0.0046823309858345305,0.004582444454432562,0.004968271528526864
46,0.005060174739814841,0.0037485787433418735,0.004320011355151864
47,0.004651024016748358,0.0039168038640998906,0.004142053263110702
48,0.004987882976730737,0.004850189188349019,0.004345589849533204
49,0.004294001123132063,0.005514905930205143,0.003689012509412898
50,0.004328744916050541,0.005426358774813338,0.0037409124539879023
51,0.00457906072914169,0.004868890795929421,0.004032612864601095
52,0.004972963060450344,0.004763203589335349,0.004260530207634305
53,0.004715981574455327,0.005189785582400233,0.003956541104565006
54,0.005174632752738501,0.004589930409002861,0.004442237376635567
55,0.005342230090631486,0.003935605670527099,0.005232327594092313
56,0.004333402351495651,0.0039796615475916255,0.004744201086470509
57,0.0048744508280779,0.004511664009781339,0.004576686418284599
58,0.004702536931225137,0.004696500451489905,0.00486545913862865
59,0.005053443712623452,0.004772924177480035,0.003841941690084037
60,0.0054215499511566494,0.004985546448742042,0.0035623300607293975
61,0.005303958855691698,0.00498245273576882,0.0037303720479543927
62,0.0055211339129106595,0.004825872629811864,0.004288185695750482
63,0.005719523352310316,0.005129966776032031,0.0051344485934764735
64,0.006068061981629986,0.005459892502162918,0.005414354202243543
65,0.005576342266140261,0.005346854245889769,0.004689406381108643
66,0.006268287344440729,0.005753994061469451,0.004804576839586013
67,0.005883791444670371,0.005422663297744912,0.005075140147641387
68,0.005891131734387897,0.005954378001030615,0.006160285286208474
69,0.006672696244715688,0.004996714229331846,0.00552570215083717
70,0.0062984914631549135,0.0052152911822453225,0.005643749413147182
71,0.006778067178990008,0.00496328855733768,0.0057515640818226335
72,0.005961472835379759,0.004764488911473081,0.005439283967105642
73,0.006318303708210067,0.004591483652027419,0.0052766584040160385
74,0.006237837699566794,0.004472999202061391,0.004693832884344552
75,0.005232876819683356,0.0036375560623265564,0.005065827175640843
76,0.0046583259265796035,0.0036225887181603887,0.004731582054734869
77,0.004252284196246976,0.0037461175829438345,0.00414364388136795
78,0.004448528872667807,0.0038819778401446895,0.00393457270108714
79,0.003860134384759534,0.0036008904662305427,0.004291658906256012
80,0.004617639602561853,0.003118718687703018,0.004110366294638549
81,0.005327157623335503,0.0026924496882941005,0.0037587603222452807
82,0.005156692689582645,0.0030003028854500187,0.004333701868120802
