ratID,Session,Epoch_N,OF,REM
27284_Douglas,1,0,10.11111111111111,10.11111111111111
27284_Douglas,1,1,9.407407407407407,9.62962962962963
27284_Douglas,1,2,10.444444444444443,10.37037037037037
27284_Douglas,1,3,11.148148148148147,11.592592592592592
27284_Douglas,1,4,10.444444444444443,9.592592592592592
27284_Douglas,1,5,10.148148148148147,10.074074074074073
27284_Douglas,1,6,9.296296296296294,9.074074074074076
27284_Douglas,1,7,10.962962962962962,9.851851851851851
27284_Douglas,1,8,9.185185185185187,10.185185185185185
27284_Douglas,1,9,9.074074074074073,9.703703703703702
27284_Douglas,1,10,8.888888888888886,9.814814814814813
27284_Douglas,1,11,10.333333333333334,9.407407407407407
27284_Douglas,1,12,9.88888888888889,10.296296296296296
27284_Douglas,1,13,10.666666666666666,10.74074074074074
27285_Elm,1,0,8.481481481481483,8.85185185185185
27285_Elm,1,1,10.222222222222225,9.777777777777777
27285_Elm,1,2,9.777777777777775,10.222222222222223
27963_Hemlock,1,0,9.296296296296294,10.185185185185182
27963_Hemlock,1,1,9.666666666666666,9.925925925925926
27963_Hemlock,1,2,10.111111111111109,9.62962962962963
27963_Hemlock,1,3,9.96296296296296,9.925925925925926
27963_Hemlock,1,4,9.333333333333334,11.148148148148149
27963_Hemlock,1,5,11.185185185185185,11.148148148148147
28003_Ironwood,1,0,11.22222222222222,8.740740740740739
29629_Karri,1,0,9.481481481481481,8.148148148148147
29629_Karri,1,1,8.925925925925927,9.74074074074074
29629_Karri,1,2,11.0,8.703703703703704
29629_Karri,1,3,11.851851851851851,8.888888888888886
29629_Karri,1,4,8.259259259259258,10.666666666666666
29629_Karri,1,5,11.296296296296296,10.592592592592592
29630_Juniper,1,0,10.62962962962963,8.814814814814815
29630_Juniper,1,1,9.11111111111111,9.148148148148149
29630_Juniper,1,2,10.74074074074074,10.407407407407405
29630_Juniper,2,0,10.74074074074074,9.333333333333334
29630_Juniper,2,1,9.444444444444441,9.925925925925926
29630_Juniper,2,2,8.703703703703702,9.851851851851851
29630_Juniper,2,3,9.407407407407407,10.333333333333332
29630_Juniper,2,4,9.629629629629628,9.333333333333332
29630_Juniper,2,5,9.518518518518517,9.814814814814817
29630_Juniper,3,0,9.407407407407407,10.296296296296294
29630_Juniper,3,1,10.703703703703702,8.703703703703702
29630_Juniper,3,2,10.0,9.370370370370368
29630_Juniper,3,3,9.11111111111111,9.740740740740742
29630_Juniper,3,4,9.0,10.962962962962962
29630_Juniper,3,5,8.962962962962964,9.33333333333333
29630_Juniper,3,6,8.74074074074074,9.851851851851851
29630_Juniper,3,7,10.407407407407407,9.88888888888889
29630_Juniper,3,8,10.185185185185185,10.62962962962963
29630_Juniper,3,9,11.629629629629628,10.814814814814813
29630_Juniper,3,10,10.111111111111112,10.666666666666668
