ratID,Session,Epoch_N,OF,REM
27284_Douglas,1,0,14.890207506472457,11.819948161623296
27284_Douglas,1,1,12.900952059920108,16.81793957225568
27284_Douglas,1,2,14.929370304109511,27.94256338346539
27284_Douglas,1,3,14.899296165784966,23.520587723332163
27284_Douglas,1,4,26.343945952383486,23.114564148373958
27284_Douglas,1,5,12.729514485815319,18.684436327100965
27284_Douglas,1,6,12.191125351509754,19.13755561220015
27284_Douglas,1,7,15.674685211443629,18.557891743239658
27284_Douglas,1,8,11.092398116485086,14.512288964527787
27284_Douglas,1,9,17.46905040041078,19.302441633736265
27284_Douglas,1,10,23.113945710300012,15.207622941452668
27284_Douglas,1,11,13.074416916128694,9.264809499285809
27284_Douglas,1,12,17.23447869660675,16.77290720831318
27284_Douglas,1,13,19.47199054888746,21.333832681584532
27285_Elm,1,0,19.55343937759378,9.362371248563507
27285_Elm,1,1,20.285885891336502,9.028991796356767
27285_Elm,1,2,19.648376969567217,22.669046990236566
27963_Hemlock,1,0,12.293296530976951,16.49819037150175
27963_Hemlock,1,1,13.609261259937362,17.140044936306964
27963_Hemlock,1,2,14.71143609478327,8.194899569069724
27963_Hemlock,1,3,10.14972986691366,16.39103001052195
27963_Hemlock,1,4,11.874563564166628,16.921675488933147
27963_Hemlock,1,5,18.672725284297016,9.74759287234688
28003_Ironwood,1,0,24.28300403530827,18.33607677229548
29629_Karri,1,0,18.415898525775223,26.124518859708708
29629_Karri,1,1,14.972100223567034,18.37780890831338
29629_Karri,1,2,13.766055467007934,21.536292598431608
29629_Karri,1,3,21.54946658891822,16.244021516468244
29629_Karri,1,4,18.076665506402147,17.44689113122573
29629_Karri,1,5,21.544349768527375,18.592658210141924
29630_Juniper,1,0,19.141911917134877,11.547691741241048
29630_Juniper,1,1,18.542952168623483,11.733547116592142
29630_Juniper,1,2,18.74644773550377,12.653533481685786
29630_Juniper,2,0,13.454666010209431,13.535416999214801
29630_Juniper,2,1,11.085214796269343,8.064592149004213
29630_Juniper,2,2,14.791978049513535,10.553180608466207
29630_Juniper,2,3,14.680920401317755,30.01978978657367
29630_Juniper,2,4,19.4354947227632,19.119811553119582
29630_Juniper,2,5,13.796850379599297,17.573212020628347
29630_Juniper,3,0,17.10164054807119,8.147213019082075
29630_Juniper,3,1,12.32935365761197,12.450080552411599
29630_Juniper,3,2,17.539047273253505,12.829010542590147
29630_Juniper,3,3,15.001133700918997,21.7036004474378
29630_Juniper,3,4,25.2150015856078,9.960658886154897
29630_Juniper,3,5,27.13681380924629,15.665874842726895
29630_Juniper,3,6,26.572536771935773,10.412624856378454
29630_Juniper,3,7,19.19709080465291,13.410595633768683
29630_Juniper,3,8,10.246676477140841,21.25122999170275
29630_Juniper,3,9,23.603805075802722,14.54237261777338
29630_Juniper,3,10,30.074603195659606,9.97486514316919
